OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
1,1,70,1,283.22,283.22
2,1,67,1,33.44,33.44
3,2,110,1,63.02,63.02
4,3,12,1,231.29,231.29
5,4,119,1,107.82,107.82
6,5,83,1,154.88,154.88
7,6,14,1,42.50,42.50
8,6,119,1,107.82,107.82
9,6,62,1,33.32,33.32
10,6,15,1,78.00,78.00
11,7,52,1,201.70,201.70
12,7,80,1,167.10,167.10
13,8,116,1,122.21,122.21
14,9,23,1,216.64,216.64
15,9,99,1,44.40,44.40
16,9,68,1,60.31,60.31
17,9,113,1,104.50,104.50
18,10,69,1,143.01,143.01
19,11,55,1,32.60,32.60
20,11,54,1,124.35,124.35
21,11,22,1,214.99,214.99
22,11,93,1,137.21,137.21
23,12,52,1,201.70,201.70
24,12,12,1,231.29,231.29
25,13,118,1,111.68,111.68
26,14,44,1,115.58,115.58
27,15,80,1,167.10,167.10
28,15,105,1,122.59,122.59
29,15,26,1,236.92,236.92
30,16,53,1,245.74,245.74
31,17,35,1,28.75,28.75
32,18,10,1,73.40,73.40
33,18,78,1,172.53,172.53
34,18,35,1,28.75,28.75
35,19,87,2,67.51,135.02
36,19,62,1,33.32,33.32
37,20,80,1,167.10,167.10
38,20,84,5,18.00,90.00
39,20,53,1,245.74,245.74
40,20,72,1,202.61,202.61
41,20,88,2,96.75,193.50
42,21,88,1,96.75,96.75
43,22,50,1,251.66,251.66
44,23,14,1,42.50,42.50
45,24,105,1,122.59,122.59
46,24,73,1,29.25,29.25
47,24,63,1,127.09,127.09
48,24,56,1,116.62,116.62
49,25,21,3,91.14,273.42
50,26,116,1,122.21,122.21
51,26,58,1,186.17,186.17
52,26,22,1,214.99,214.99
53,27,12,1,231.29,231.29
54,27,35,3,28.75,86.25
55,28,33,1,142.19,142.19
56,28,10,3,73.40,220.20
57,28,103,1,71.11,71.11
58,28,9,1,189.10,189.10
59,29,105,1,122.59,122.59
60,29,99,3,44.40,133.20
61,29,53,1,245.74,245.74
62,30,108,1,80.05,80.05
63,30,70,1,283.22,283.22
64,31,43,1,291.23,291.23
65,32,24,1,139.18,139.18
66,32,108,1,80.05,80.05
67,33,52,1,201.70,201.70
68,33,43,1,291.23,291.23
69,34,53,1,245.74,245.74
70,34,66,1,102.82,102.82
71,34,9,1,189.10,189.10
72,35,23,1,216.64,216.64
73,36,46,1,138.81,138.81
74,37,108,1,80.05,80.05
75,37,85,1,69.17,69.17
76,37,2,1,181.35,181.35
77,38,4,1,156.83,156.83
78,39,96,1,106.09,106.09
79,40,70,1,283.22,283.22
80,40,67,1,33.44,33.44
81,41,26,1,236.92,236.92
82,42,78,1,172.53,172.53
83,43,93,1,137.21,137.21
84,44,4,1,156.83,156.83
