OrderID,CustomerID,OrderDateTime,Subtotal,DiscountRate,DiscountAmount,ShippingMethod,Shipping,Tax,Total
1,1,2026-01-28 13:09:50,316.66,0.10,31.67,Standard,0.00,19.95,304.94
2,1,2026-02-13 13:05:55,63.02,0.00,0.00,Two-Day,12.99,5.32,81.33
3,1,2026-02-23 20:23:55,231.29,0.05,11.56,Standard,0.00,15.38,235.11
4,1,2026-07-02 20:46:09,107.82,0.05,5.39,Standard,5.99,7.59,116.01
5,2,2023-02-09 19:32:32,154.88,0.20,30.98,Standard,5.99,9.09,138.98
6,2,2023-02-16 03:55:39,261.64,0.10,26.16,Standard,0.00,16.48,251.96
7,2,2023-03-01 03:43:16,368.80,0.10,36.88,Standard,0.00,23.23,355.15
8,2,2023-03-24 21:44:20,122.21,0.05,6.11,Standard,5.99,8.55,130.64
9,2,2023-06-02 09:01:21,425.85,0.10,42.59,Standard,0.00,26.83,410.09
10,2,2023-06-11 19:06:47,143.01,0.05,7.15,Standard,0.00,9.51,145.37
11,2,2023-06-22 19:23:53,509.15,0.15,76.37,Standard,0.00,30.29,463.07
12,2,2023-07-16 12:47:24,432.99,0.10,43.30,Two-Day,0.00,27.28,416.97
13,2,2023-08-10 12:06:55,111.68,0.05,5.58,Next-Day,24.99,9.18,140.27
14,2,2023-08-30 10:09:52,115.58,0.05,5.78,Standard,5.99,8.11,123.90
15,2,2023-09-12 19:06:06,526.61,0.15,78.99,Two-Day,0.00,31.33,478.95
16,2,2023-10-07 09:13:04,245.74,0.05,12.29,Standard,0.00,16.34,249.79
17,2,2023-10-15 12:35:34,28.75,0.00,0.00,Standard,5.99,2.43,37.17
18,2,2023-12-10 14:14:26,274.68,0.10,27.47,Standard,0.00,17.30,264.51
19,2,2023-12-23 14:02:11,168.34,0.05,8.42,Standard,0.00,11.19,171.11
20,2,2024-01-20 14:33:44,898.95,0.15,134.84,Two-Day,0.00,53.49,817.60
21,2,2024-01-30 12:55:12,96.75,0.00,0.00,Next-Day,24.99,8.52,130.26
22,2,2024-04-04 21:51:09,251.66,0.10,25.17,Standard,0.00,15.85,242.34
23,2,2024-05-17 18:02:45,42.50,0.00,0.00,Standard,5.99,3.39,51.88
24,2,2024-06-11 21:34:05,395.55,0.10,39.56,Standard,0.00,24.92,380.91
25,2,2024-06-17 19:27:02,273.42,0.10,27.34,Standard,0.00,17.23,263.31
26,2,2024-06-24 19:38:26,523.37,0.15,78.51,Standard,0.00,31.14,476.00
27,2,2024-06-26 10:43:15,317.54,0.10,31.75,Standard,0.00,20.01,305.80
28,2,2024-06-26 17:20:46,622.60,0.15,93.39,Two-Day,0.00,37.04,566.25
29,2,2024-07-07 19:47:40,501.53,0.15,75.23,Standard,0.00,29.84,456.14
30,2,2024-07-29 14:12:24,363.27,0.10,36.33,Two-Day,0.00,22.89,349.83
31,2,2024-08-16 08:50:06,291.23,0.10,29.12,Standard,0.00,18.35,280.46
32,2,2024-09-07 01:49:00,219.23,0.05,10.96,Standard,0.00,14.58,222.85
33,2,2024-10-05 10:16:40,492.93,0.10,49.29,Standard,0.00,31.05,474.69
34,2,2024-10-15 18:36:43,537.66,0.15,80.65,Standard,0.00,31.99,489.00
35,2,2024-11-01 09:51:09,216.64,0.05,10.83,Standard,0.00,14.41,220.22
36,2,2024-11-20 23:39:26,138.81,0.05,6.94,Standard,0.00,9.23,141.10
37,2,2024-12-26 21:59:32,330.57,0.10,33.06,Standard,0.00,20.83,318.34
38,2,2025-01-19 10:43:18,156.83,0.05,7.84,Standard,0.00,10.43,159.42
39,2,2025-01-26 15:19:57,106.09,0.20,21.22,Two-Day,12.99,6.85,104.71
40,2,2025-02-17 14:45:39,316.66,0.10,31.67,Standard,0.00,19.95,304.94
41,2,2025-03-12 06:18:53,236.92,0.05,11.85,Standard,0.00,15.75,240.82
42,2,2025-06-17 13:32:50,172.53,0.05,8.63,Standard,0.00,11.47,175.37
43,2,2025-06-19 13:53:44,137.21,0.05,6.86,Two-Day,0.00,9.12,139.47
44,2,2025-07-05 20:42:46,485.28,0.10,48.53,Standard,0.00,30.57,467.32
45,2,2025-07-05 01:21:07,282.55,0.10,28.26,Standard,0.00,17.80,272.09
