ShipmentID,OrderID,Carrier,TrackingNumber,ShipmentDateTime,EstimatedDeliveryDateTime,ActualDeliveryDateTime,ShipmentStatus,IsDelayed,ShippingMethod,ShippingCost
1,1,UPS,1Z6805820360768042,2026-01-30 08:09:58,2026-02-05 08:09:58,2026-02-04 08:09:58,Delivered,False,Standard,0.00
2,2,FedEx,61179 77129 74144,2026-02-15 00:20:40,2026-02-17 00:20:40,2026-02-17 00:20:40,Delivered,False,Two-Day,12.99
3,3,USPS,9400 2743 2383 5862,2026-02-25 05:25:30,2026-02-28 05:25:30,2026-02-27 05:25:30,Delivered,False,Standard,0.00
4,4,UPS,1Z5611087290529068,2026-07-04 07:46:14,2026-07-09 07:46:14,2026-07-09 07:46:14,Delivered,False,Standard,5.99
5,5,USPS,9400 8248 1172 7641,2023-02-10 16:34:30,2023-02-13 16:34:30,2023-02-13 16:34:30,Delivered,False,Standard,5.99
6,6,USPS,9400 3190 3758 9985,2023-02-17 22:55:44,2023-02-20 22:55:44,2023-02-19 22:55:44,Delivered,False,Standard,0.00
7,7,USPS,9400 4817 1553 6710,2023-03-02 19:44:42,2023-03-07 19:44:42,2023-03-06 19:44:42,Delivered,False,Standard,0.00
8,8,FedEx,12934 19582 59567,2023-03-26 19:44:27,2023-04-02 19:44:27,2023-04-02 19:44:27,Delivered,False,Standard,5.99
9,9,UPS,1Z3224191943461722,2023-06-03 01:02:53,2023-06-09 01:02:53,2023-06-08 01:02:53,Delivered,False,Standard,0.00
10,10,USPS,9400 3271 7719 9074,2023-06-13 09:07:05,2023-06-19 09:07:05,2023-06-19 09:07:05,Delivered,False,Standard,0.00
11,11,USPS,9400 6760 3076 3240,2023-06-23 11:23:58,2023-06-27 11:23:58,2023-06-27 11:23:58,Delivered,False,Standard,0.00
12,12,FedEx,21315 82125 02407,2023-07-17 02:48:47,2023-07-19 02:48:47,2023-07-19 02:48:47,Delivered,False,Two-Day,0.00
13,13,FedEx,99059 27436 00473,2023-08-10 18:07:15,2023-08-11 18:07:15,2023-08-11 18:07:15,Delivered,False,Next-Day,24.99
14,14,USPS,9400 1791 1217 1939,2023-08-31 23:10:36,2023-09-03 23:10:36,2023-09-03 23:10:36,Delivered,False,Standard,5.99
15,15,FedEx,27300 24819 91985,2023-09-13 02:07:10,2023-09-15 02:07:10,2023-09-15 02:07:10,Delivered,False,Two-Day,0.00
16,16,USPS,9400 6542 4703 3463,2023-10-07 21:13:32,2023-10-10 21:13:32,2023-10-09 21:13:32,Delivered,False,Standard,0.00
17,17,FedEx,35523 20785 48921,2023-10-17 06:37:21,2023-10-20 06:37:21,2023-10-20 06:37:21,Delivered,False,Standard,5.99
18,18,UPS,1Z3571353904654042,2023-12-11 14:15:29,2023-12-16 14:15:29,2023-12-15 14:15:29,Delivered,False,Standard,0.00
19,19,UPS,1Z3685580631254439,2023-12-24 06:03:52,2023-12-27 06:03:52,2023-12-26 06:03:52,Delivered,False,Standard,0.00
20,20,FedEx,15041 09474 06838,2024-01-21 02:35:07,2024-01-23 02:35:07,2024-01-23 02:35:07,Delivered,False,Two-Day,0.00
21,21,FedEx,10461 02269 36924,2024-01-30 22:56:08,2024-01-31 22:56:08,2024-01-30 22:56:08,Delivered,False,Next-Day,24.99
22,22,USPS,9400 1838 4634 3906,2024-04-06 20:51:20,2024-04-09 20:51:20,2024-04-08 20:51:20,Delivered,False,Standard,0.00
23,23,USPS,9400 3671 3828 2004,2024-05-19 16:02:53,2024-05-22 16:02:53,2024-05-22 16:02:53,Delivered,False,Standard,5.99
24,24,FedEx,60993 03002 11042,2024-06-13 01:34:56,2024-06-18 01:34:56,2024-06-17 01:34:56,Delivered,False,Standard,0.00
25,26,UPS,1Z7419582538242893,2024-06-26 00:39:58,2024-07-03 00:39:58,2024-07-02 00:39:58,Delivered,False,Standard,0.00
26,27,USPS,9400 5316 1345 5959,2024-06-27 14:45:05,2024-07-01 14:45:05,2024-07-01 14:45:05,Delivered,False,Standard,0.00
27,28,FedEx,90781 87884 81148,2024-06-27 11:21:38,2024-06-29 11:21:38,2024-06-28 11:21:38,Delivered,False,Two-Day,0.00
28,29,UPS,1Z7272278272743633,2024-07-09 03:48:10,2024-07-14 03:48:10,2024-07-13 03:48:10,Delivered,False,Standard,0.00
29,30,FedEx,70604 35221 49352,2024-07-30 09:13:35,2024-08-01 09:13:35,,Damaged,False,Two-Day,0.00
30,31,USPS,9400 3444 5203 2436,2024-08-18 04:51:35,2024-08-24 04:51:35,2024-08-23 04:51:35,Delivered,False,Standard,0.00
31,32,UPS,1Z3259672444704628,2024-09-08 18:50:46,2024-09-12 18:50:46,2024-09-11 18:50:46,Delivered,False,Standard,0.00
32,33,FedEx,93100 60110 58261,2024-10-06 19:17:12,2024-10-13 19:17:12,2024-10-18 19:17:12,Delivered,True,Standard,0.00
33,34,USPS,9400 7428 5896 5829,2024-10-17 03:37:24,2024-10-22 03:37:24,2024-10-21 03:37:24,Delivered,False,Standard,0.00
34,35,UPS,1Z5717634651607381,2024-11-03 01:52:26,2024-11-10 01:52:26,2024-11-09 01:52:26,Delivered,False,Standard,0.00
35,36,USPS,9400 1267 2983 1742,2024-11-22 18:40:03,2024-11-29 18:40:03,2024-11-29 18:40:03,Delivered,False,Standard,0.00
36,37,FedEx,68300 83182 71236,2024-12-28 19:00:26,2025-01-04 19:00:26,2025-01-04 19:00:26,Delivered,False,Standard,0.00
37,38,USPS,9400 7014 4721 5122,2025-01-21 10:43:37,2025-01-24 10:43:37,2025-01-23 10:43:37,Delivered,False,Standard,0.00
38,39,UPS,1Z8068710227144332,2025-01-27 14:21:56,2025-01-29 14:21:56,2025-01-28 14:21:56,Delivered,False,Two-Day,12.99
39,40,FedEx,60092 82627 40268,2025-02-18 16:46:17,2025-02-25 16:46:17,2025-02-26 16:46:17,Delivered,True,Standard,0.00
40,41,UPS,1Z4724100513901088,2025-03-12 18:19:19,2025-03-17 18:19:19,2025-03-18 18:19:19,Delivered,True,Standard,0.00
41,42,USPS,9400 2482 5493 1677,2025-06-18 01:33:28,2025-06-23 01:33:28,2025-06-23 01:33:28,Delivered,False,Standard,0.00
42,43,UPS,1Z7865771467131310,2025-06-20 11:55:36,2025-06-22 11:55:36,2025-06-22 11:55:36,Delivered,False,Two-Day,0.00
43,44,UPS,1Z2901113969698323,2025-07-06 22:42:51,2025-07-13 22:42:51,2025-07-13 22:42:51,Delivered,False,Standard,0.00
44,45,FedEx,78807 15619 88354,2025-07-06 07:22:38,2025-07-11 07:22:38,2025-07-11 07:22:38,Delivered,False,Standard,0.00
45,46,FedEx,48179 22682 01523,2025-07-18 14:37:26,2025-07-20 14:37:26,2025-07-20 14:37:26,Delivered,False,Two-Day,0.00
46,47,USPS,9400 3437 5011 7985,2025-08-18 20:38:51,2025-08-24 20:38:51,2025-08-23 20:38:51,Delivered,False,Standard,0.00
47,48,USPS,9400 9491 3215 4567,2025-08-28 14:51:02,2025-08-31 14:51:02,2025-08-31 14:51:02,Delivered,False,Standard,0.00
48,50,UPS,1Z4430994811678078,2025-12-18 19:09:09,2025-12-24 19:09:09,2025-12-23 19:09:09,Delivered,False,Standard,5.99
49,51,UPS,1Z1376449465544084,2025-12-21 08:55:08,2025-12-27 08:55:08,2025-12-27 08:55:08,Delivered,False,Standard,0.00
50,52,UPS,1Z3039949329441894,2025-12-24 05:09:24,2025-12-28 05:09:24,2025-12-28 05:09:24,Delivered,False,Standard,0.00
51,53,USPS,9400 3459 4826 9842,2026-01-08 05:54:17,2026-01-12 05:54:17,2026-01-12 05:54:17,Delivered,False,Standard,0.00
52,54,FedEx,56888 05025 66186,2026-01-10 10:31:11,2026-01-16 10:31:11,2026-01-16 10:31:11,Delivered,False,Standard,0.00
