OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
1,1,26,1,277.00,277.00
2,1,103,1,154.17,154.17
3,1,40,1,312.89,312.89
4,2,59,1,83.92,83.92
5,2,13,1,37.95,37.95
6,3,18,1,205.40,205.40
7,4,28,1,240.06,240.06
8,4,78,1,109.94,109.94
9,4,112,1,139.04,139.04
10,4,22,1,93.52,93.52
11,5,117,1,135.17,135.17
12,6,67,1,104.40,104.40
13,6,71,1,60.79,60.79
14,7,15,3,46.88,140.64
15,7,68,1,270.02,270.02
16,8,40,1,312.89,312.89
17,9,112,1,139.04,139.04
18,10,85,1,29.53,29.53
19,10,50,1,118.08,118.08
20,10,72,1,240.87,240.87
21,11,41,1,132.51,132.51
22,11,74,1,36.93,36.93
23,12,57,1,63.82,63.82
24,13,105,2,25.23,50.46
25,14,34,2,50.00,100.00
26,15,99,1,128.47,128.47
27,15,11,1,232.90,232.90
28,16,35,1,347.76,347.76
29,17,84,1,154.38,154.38
30,17,22,1,93.52,93.52
31,17,114,1,37.83,37.83
32,17,98,1,21.00,21.00
33,17,78,1,109.94,109.94
34,18,6,2,50.38,100.76
35,18,89,2,165.09,330.18
36,18,83,1,79.09,79.09
37,19,40,1,312.89,312.89
38,19,46,1,86.89,86.89
39,19,91,1,23.33,23.33
40,19,99,1,128.47,128.47
41,20,80,1,52.30,52.30
42,20,51,1,169.50,169.50
43,21,45,1,316.36,316.36
44,22,19,1,251.45,251.45
45,22,73,1,205.23,205.23
46,23,71,1,60.79,60.79
47,23,39,1,323.74,323.74
48,24,116,1,105.53,105.53
49,24,64,1,117.05,117.05
50,25,78,1,109.94,109.94
51,25,38,1,133.66,133.66
52,25,16,1,261.45,261.45
53,26,22,2,93.52,187.04
54,27,95,1,30.74,30.74
55,28,10,1,73.71,73.71
56,28,75,1,197.57,197.57
57,29,36,1,233.77,233.77
58,29,78,1,109.94,109.94
59,30,83,2,79.09,158.18
60,30,13,1,37.95,37.95
61,30,6,3,50.38,151.14
62,31,119,1,42.97,42.97
63,31,58,1,130.73,130.73
64,31,71,1,60.79,60.79
65,31,105,1,25.23,25.23
66,32,48,2,243.57,487.14
67,33,16,1,261.45,261.45
68,33,83,3,79.09,237.27
69,33,4,2,75.82,151.64
70,33,69,2,158.35,316.70
71,34,91,1,23.33,23.33
72,34,18,1,205.40,205.40
73,35,104,1,135.31,135.31
74,35,61,1,274.32,274.32
75,35,22,1,93.52,93.52
76,36,18,1,205.40,205.40
77,36,92,1,153.88,153.88
78,36,100,2,29.83,59.66
79,37,63,1,140.81,140.81
80,38,45,1,316.36,316.36
81,38,68,1,270.02,270.02
82,39,88,1,147.19,147.19
83,40,50,1,118.08,118.08
84,40,15,1,46.88,46.88
85,40,68,1,270.02,270.02
86,40,88,1,147.19,147.19
87,40,48,1,243.57,243.57
88,41,83,1,79.09,79.09
89,41,64,1,117.05,117.05
90,42,58,1,130.73,130.73
91,42,6,2,50.38,100.76
92,43,110,1,33.94,33.94
93,44,28,1,240.06,240.06
94,44,62,1,226.21,226.21
95,44,64,1,117.05,117.05
96,45,43,1,260.88,260.88
97,45,44,1,152.88,152.88
98,46,104,1,135.31,135.31
99,46,55,1,110.90,110.90
100,47,15,1,46.88,46.88
101,47,7,1,182.95,182.95
102,47,68,1,270.02,270.02
103,48,71,1,60.79,60.79
104,48,26,1,277.00,277.00
105,49,19,1,251.45,251.45
106,49,59,3,83.92,251.76
107,49,24,2,175.40,350.80
108,49,118,1,38.55,38.55
109,50,73,1,205.23,205.23
110,50,71,3,60.79,182.37
111,50,56,1,119.71,119.71
112,51,87,1,111.70,111.70
113,51,69,1,158.35,158.35
114,51,44,1,152.88,152.88
115,52,16,1,261.45,261.45
116,52,56,1,119.71,119.71
117,52,68,1,270.02,270.02
118,53,98,1,21.00,21.00
119,53,89,1,165.09,165.09
120,53,8,3,60.76,182.28
121,53,60,1,23.26,23.26
122,54,30,1,54.79,54.79
123,54,51,1,169.50,169.50
124,55,67,1,104.40,104.40
125,55,97,2,14.07,28.14
126,55,49,1,229.73,229.73
127,55,53,1,87.51,87.51
128,56,37,1,30.92,30.92
129,57,104,1,135.31,135.31
130,58,87,1,111.70,111.70
131,59,90,1,16.76,16.76
132,60,60,1,23.26,23.26
133,61,40,1,312.89,312.89
134,62,46,1,86.89,86.89
135,62,105,1,25.23,25.23
136,62,113,1,74.12,74.12
137,63,3,1,94.84,94.84
138,63,19,1,251.45,251.45
139,63,28,1,240.06,240.06
140,64,97,2,14.07,28.14
141,65,63,1,140.81,140.81
142,65,90,1,16.76,16.76
143,65,98,1,21.00,21.00
144,65,117,1,135.17,135.17
145,66,91,1,23.33,23.33
146,66,83,1,79.09,79.09
147,67,98,1,21.00,21.00
148,67,25,1,64.98,64.98
149,67,18,1,205.40,205.40
150,67,90,2,16.76,33.52
151,67,55,1,110.90,110.90
152,68,58,1,130.73,130.73
153,69,13,1,37.95,37.95
154,69,8,1,60.76,60.76
155,70,67,1,104.40,104.40
156,70,97,1,14.07,14.07
157,70,41,2,132.51,265.02
158,70,22,2,93.52,187.04
159,70,34,1,50.00,50.00
160,71,99,1,128.47,128.47
161,71,92,1,153.88,153.88
162,72,90,1,16.76,16.76
163,72,41,1,132.51,132.51
164,72,66,1,149.93,149.93
165,73,68,1,270.02,270.02
166,74,103,1,154.17,154.17
167,74,109,3,33.50,100.50
168,74,1,3,87.96,263.88
169,75,117,1,135.17,135.17
170,76,55,1,110.90,110.90
171,76,40,1,312.89,312.89
172,76,85,1,29.53,29.53
173,77,9,1,148.99,148.99
174,77,65,1,249.07,249.07
175,78,74,1,36.93,36.93
176,78,16,1,261.45,261.45
177,78,44,1,152.88,152.88
178,78,59,1,83.92,83.92
179,78,99,1,128.47,128.47
180,79,44,1,152.88,152.88
181,79,97,3,14.07,42.21
182,79,60,1,23.26,23.26
183,79,111,1,25.98,25.98
184,80,113,2,74.12,148.24
185,81,116,1,105.53,105.53
186,81,19,1,251.45,251.45
187,81,10,1,73.71,73.71
188,82,10,1,73.71,73.71
189,82,6,3,50.38,151.14
190,82,112,1,139.04,139.04
191,82,18,1,205.40,205.40
192,82,27,1,68.80,68.80
193,83,115,1,37.29,37.29
194,83,57,2,63.82,127.64
195,83,59,1,83.92,83.92
196,83,58,1,130.73,130.73
197,84,87,1,111.70,111.70
198,84,80,2,52.30,104.60
199,85,80,1,52.30,52.30
200,85,36,1,233.77,233.77
201,86,6,1,50.38,50.38
202,87,87,1,111.70,111.70
203,88,62,1,226.21,226.21
204,89,32,1,184.33,184.33
205,90,39,1,323.74,323.74
206,90,7,2,182.95,365.90
207,91,30,1,54.79,54.79
208,91,67,1,104.40,104.40
209,91,97,5,14.07,70.35
210,91,3,1,94.84,94.84
211,92,27,2,68.80,137.60
212,93,22,2,93.52,187.04
213,94,21,1,127.87,127.87
214,94,80,1,52.30,52.30
215,94,60,1,23.26,23.26
216,94,38,1,133.66,133.66
217,95,98,1,21.00,21.00
218,96,38,1,133.66,133.66
219,96,120,1,136.24,136.24
220,97,84,1,154.38,154.38
221,97,27,1,68.80,68.80
222,98,13,2,37.95,75.90
223,99,20,1,158.48,158.48
224,100,28,1,240.06,240.06
225,100,100,3,29.83,89.49
226,100,95,1,30.74,30.74
227,100,50,1,118.08,118.08
228,101,54,1,101.99,101.99
229,102,12,2,69.57,139.14
230,103,26,1,277.00,277.00
231,104,3,1,94.84,94.84
232,105,19,2,251.45,502.90
233,105,59,3,83.92,251.76
234,106,74,1,36.93,36.93
235,107,106,1,72.87,72.87
236,107,97,1,14.07,14.07
237,107,21,2,127.87,255.74
238,107,65,1,249.07,249.07
239,108,41,1,132.51,132.51
240,109,11,1,232.90,232.90
241,109,47,2,16.94,33.88
242,109,42,1,27.38,27.38
243,110,43,1,260.88,260.88
244,110,12,1,69.57,69.57
245,110,99,1,128.47,128.47
246,110,64,1,117.05,117.05
247,111,41,1,132.51,132.51
248,112,52,1,56.21,56.21
249,113,106,1,72.87,72.87
250,114,39,1,323.74,323.74
251,115,12,1,69.57,69.57
252,115,20,1,158.48,158.48
253,116,103,2,154.17,308.34
254,116,48,1,243.57,243.57
255,116,68,1,270.02,270.02
256,117,98,3,21.00,63.00
257,118,40,1,312.89,312.89
258,118,28,1,240.06,240.06
259,118,61,1,274.32,274.32
260,118,84,1,154.38,154.38
261,119,12,1,69.57,69.57
262,120,44,1,152.88,152.88
263,121,68,1,270.02,270.02
264,122,32,2,184.33,368.66
265,123,63,1,140.81,140.81
266,123,83,1,79.09,79.09
267,124,91,1,23.33,23.33
268,125,113,1,74.12,74.12
269,126,73,1,205.23,205.23
270,127,78,1,109.94,109.94
271,128,15,1,46.88,46.88
272,128,31,1,253.74,253.74
273,128,12,3,69.57,208.71
274,129,105,2,25.23,50.46
275,129,44,1,152.88,152.88
276,130,45,1,316.36,316.36
277,130,64,1,117.05,117.05
278,130,12,1,69.57,69.57
279,130,13,1,37.95,37.95
280,131,6,1,50.38,50.38
281,132,115,1,37.29,37.29
282,132,120,1,136.24,136.24
283,132,23,1,259.95,259.95
284,132,116,2,105.53,211.06
285,133,51,1,169.50,169.50
286,133,89,1,165.09,165.09
287,133,104,1,135.31,135.31
288,134,91,3,23.33,69.99
289,134,22,2,93.52,187.04
290,134,73,1,205.23,205.23
291,134,60,1,23.26,23.26
292,134,76,3,58.10,174.30
293,135,46,1,86.89,86.89
294,135,81,1,23.91,23.91
295,135,58,1,130.73,130.73
296,136,58,1,130.73,130.73
297,137,63,2,140.81,281.62
298,138,84,1,154.38,154.38
299,138,64,1,117.05,117.05
300,139,83,1,79.09,79.09
301,140,76,1,58.10,58.10
302,141,40,1,312.89,312.89
303,142,27,1,68.80,68.80
304,142,40,1,312.89,312.89
305,143,10,1,73.71,73.71
306,144,18,1,205.40,205.40
307,145,40,1,312.89,312.89
308,145,24,1,175.40,175.40
309,145,10,1,73.71,73.71
310,146,11,1,232.90,232.90
311,147,51,1,169.50,169.50
312,148,118,3,38.55,115.65
313,149,105,2,25.23,50.46
314,150,36,1,233.77,233.77
315,150,119,1,42.97,42.97
316,150,12,1,69.57,69.57
317,151,95,1,30.74,30.74
318,151,116,1,105.53,105.53
319,152,12,1,69.57,69.57
320,152,36,1,233.77,233.77
321,152,112,1,139.04,139.04
322,153,9,1,148.99,148.99
323,153,118,2,38.55,77.10
324,154,56,1,119.71,119.71
325,155,38,1,133.66,133.66
326,155,61,1,274.32,274.32
327,156,105,1,25.23,25.23
328,157,71,1,60.79,60.79
329,157,31,1,253.74,253.74
330,157,83,3,79.09,237.27
331,157,79,1,107.76,107.76
332,158,54,1,101.99,101.99
333,158,109,2,33.50,67.00
334,159,66,1,149.93,149.93
335,160,97,2,14.07,28.14
336,160,2,1,166.29,166.29
337,161,31,1,253.74,253.74
338,162,76,1,58.10,58.10
339,163,69,1,158.35,158.35
340,163,99,1,128.47,128.47
341,163,67,1,104.40,104.40
342,164,85,1,29.53,29.53
343,164,90,2,16.76,33.52
344,164,68,1,270.02,270.02
345,165,65,1,249.07,249.07
346,166,64,1,117.05,117.05
347,167,30,2,54.79,109.58
348,167,111,1,25.98,25.98
349,167,87,1,111.70,111.70
350,167,22,2,93.52,187.04
351,168,60,1,23.26,23.26
352,168,67,1,104.40,104.40
353,168,50,1,118.08,118.08
354,168,83,1,79.09,79.09
355,169,26,1,277.00,277.00
356,169,67,1,104.40,104.40
357,169,16,1,261.45,261.45
358,169,44,1,152.88,152.88
359,170,9,1,148.99,148.99
360,171,25,1,64.98,64.98
361,171,115,1,37.29,37.29
362,171,69,1,158.35,158.35
363,171,88,1,147.19,147.19
364,172,9,1,148.99,148.99
365,172,109,1,33.50,33.50
366,173,48,1,243.57,243.57
367,174,103,1,154.17,154.17
368,175,98,1,21.00,21.00
369,175,84,1,154.38,154.38
370,176,87,1,111.70,111.70
371,176,36,1,233.77,233.77
372,177,44,1,152.88,152.88
373,178,32,1,184.33,184.33
374,179,26,1,277.00,277.00
375,180,95,1,30.74,30.74
376,181,87,1,111.70,111.70
377,182,85,1,29.53,29.53
378,182,65,1,249.07,249.07
379,183,44,1,152.88,152.88
380,184,120,1,136.24,136.24
381,185,4,3,75.82,227.46
382,185,81,3,23.91,71.73
383,185,73,1,205.23,205.23
384,185,50,1,118.08,118.08
385,186,102,2,41.70,83.40
386,187,9,1,148.99,148.99
387,187,94,1,130.90,130.90
388,187,58,1,130.73,130.73
389,187,116,1,105.53,105.53
390,188,99,1,128.47,128.47
391,189,105,1,25.23,25.23
392,190,85,2,29.53,59.06
393,190,118,1,38.55,38.55
394,190,82,2,84.04,168.08
395,190,50,1,118.08,118.08
396,191,88,1,147.19,147.19
397,191,81,1,23.91,23.91
398,192,116,1,105.53,105.53
399,192,27,1,68.80,68.80
400,192,15,1,46.88,46.88
401,193,78,1,109.94,109.94
402,193,59,3,83.92,251.76
403,194,36,1,233.77,233.77
404,194,53,1,87.51,87.51
405,194,33,1,127.13,127.13
406,194,47,2,16.94,33.88
407,195,37,3,30.92,92.76
408,196,59,1,83.92,83.92
409,197,113,2,74.12,148.24
410,198,73,1,205.23,205.23
411,198,28,1,240.06,240.06
412,198,91,1,23.33,23.33
413,199,91,1,23.33,23.33
414,200,116,1,105.53,105.53
415,200,8,3,60.76,182.28
416,201,74,1,36.93,36.93
417,201,51,1,169.50,169.50
418,201,71,3,60.79,182.37
419,202,99,1,128.47,128.47
420,203,44,1,152.88,152.88
421,203,112,1,139.04,139.04
422,204,13,1,37.95,37.95
423,205,59,2,83.92,167.84
424,206,27,3,68.80,206.40
425,207,73,1,205.23,205.23
426,208,38,1,133.66,133.66
427,209,16,1,261.45,261.45
428,209,40,2,312.89,625.78
429,210,44,1,152.88,152.88
430,210,20,1,158.48,158.48
431,211,4,2,75.82,151.64
432,212,89,1,165.09,165.09
433,212,117,1,135.17,135.17
434,212,113,1,74.12,74.12
435,213,57,2,63.82,127.64
436,214,36,1,233.77,233.77
437,214,64,1,117.05,117.05
438,214,26,1,277.00,277.00
439,214,3,1,94.84,94.84
440,215,16,1,261.45,261.45
441,216,21,1,127.87,127.87
442,216,16,1,261.45,261.45
443,217,15,1,46.88,46.88
444,217,8,3,60.76,182.28
445,217,36,1,233.77,233.77
446,217,10,1,73.71,73.71
447,218,119,1,42.97,42.97
448,218,103,1,154.17,154.17
449,219,4,1,75.82,75.82
450,219,59,2,83.92,167.84
451,219,74,1,36.93,36.93
452,219,9,1,148.99,148.99
453,219,22,1,93.52,93.52
454,220,38,1,133.66,133.66
455,221,54,1,101.99,101.99
456,221,112,1,139.04,139.04
457,222,46,1,86.89,86.89
458,223,92,1,153.88,153.88
459,223,100,1,29.83,29.83
460,223,21,1,127.87,127.87
461,223,18,1,205.40,205.40
462,224,58,1,130.73,130.73
463,225,12,2,69.57,139.14
464,226,116,1,105.53,105.53
465,226,58,1,130.73,130.73
466,226,81,1,23.91,23.91
467,226,112,1,139.04,139.04
468,227,92,1,153.88,153.88
469,228,105,3,25.23,75.69
470,229,80,2,52.30,104.60
471,230,9,1,148.99,148.99
472,231,112,1,139.04,139.04
473,231,64,1,117.05,117.05
474,232,80,1,52.30,52.30
475,232,83,3,79.09,237.27
476,232,28,1,240.06,240.06
477,233,53,2,87.51,175.02
478,233,119,1,42.97,42.97
479,233,16,1,261.45,261.45
480,233,110,1,33.94,33.94
481,233,79,1,107.76,107.76
482,234,21,1,127.87,127.87
483,234,71,1,60.79,60.79
484,234,26,1,277.00,277.00
485,235,57,2,63.82,127.64
486,235,16,1,261.45,261.45
487,236,104,1,135.31,135.31
488,237,116,1,105.53,105.53
489,237,20,1,158.48,158.48
490,238,92,1,153.88,153.88
491,238,54,1,101.99,101.99
492,239,51,1,169.50,169.50
493,239,21,1,127.87,127.87
494,240,77,1,22.73,22.73
495,241,88,1,147.19,147.19
496,242,8,2,60.76,121.52
497,242,4,1,75.82,75.82
498,242,79,1,107.76,107.76
499,242,25,1,64.98,64.98
500,243,3,1,94.84,94.84
501,243,1,3,87.96,263.88
502,244,51,1,169.50,169.50
503,244,58,1,130.73,130.73
504,245,84,1,154.38,154.38
505,245,71,2,60.79,121.58
506,246,64,1,117.05,117.05
507,246,22,1,93.52,93.52
508,247,27,1,68.80,68.80
509,247,8,1,60.76,60.76
510,248,120,1,136.24,136.24
511,249,51,1,169.50,169.50
512,250,41,1,132.51,132.51
513,251,35,1,347.76,347.76
514,252,81,1,23.91,23.91
515,253,31,1,253.74,253.74
516,253,116,1,105.53,105.53
517,253,117,1,135.17,135.17
518,253,80,2,52.30,104.60
519,254,26,1,277.00,277.00
520,255,31,1,253.74,253.74
521,255,37,2,30.92,61.84
522,256,47,1,16.94,16.94
523,256,100,1,29.83,29.83
524,257,83,2,79.09,158.18
525,257,114,1,37.83,37.83
526,257,112,1,139.04,139.04
527,258,45,1,316.36,316.36
528,259,45,1,316.36,316.36
529,259,67,1,104.40,104.40
530,260,12,1,69.57,69.57
531,260,19,1,251.45,251.45
532,261,41,1,132.51,132.51
533,261,66,1,149.93,149.93
534,262,93,1,123.03,123.03
535,262,105,1,25.23,25.23
536,262,80,1,52.30,52.30
537,263,31,1,253.74,253.74
538,264,14,2,89.30,178.60
539,265,116,1,105.53,105.53
540,266,18,1,205.40,205.40
541,266,62,1,226.21,226.21
542,266,13,1,37.95,37.95
543,267,40,1,312.89,312.89
544,267,87,1,111.70,111.70
545,268,9,1,148.99,148.99
546,269,56,1,119.71,119.71
547,270,44,1,152.88,152.88
548,271,74,1,36.93,36.93
549,271,105,1,25.23,25.23
550,272,92,1,153.88,153.88
551,272,30,1,54.79,54.79
552,273,68,1,270.02,270.02
553,273,83,1,79.09,79.09
554,274,80,1,52.30,52.30
555,275,38,1,133.66,133.66
556,276,80,1,52.30,52.30
557,277,92,1,153.88,153.88
558,277,45,1,316.36,316.36
559,277,27,2,68.80,137.60
560,278,39,1,323.74,323.74
561,278,41,1,132.51,132.51
562,279,30,1,54.79,54.79
563,279,119,1,42.97,42.97
564,280,52,1,56.21,56.21
565,280,38,1,133.66,133.66
566,281,71,2,60.79,121.58
567,282,68,1,270.02,270.02
568,283,62,1,226.21,226.21
569,283,112,1,139.04,139.04
570,284,85,1,29.53,29.53
571,285,76,2,58.10,116.20
572,285,51,1,169.50,169.50
573,286,78,1,109.94,109.94
574,287,23,1,259.95,259.95
575,288,15,1,46.88,46.88
576,289,27,1,68.80,68.80
577,289,38,1,133.66,133.66
578,290,46,1,86.89,86.89
579,290,105,1,25.23,25.23
580,291,119,1,42.97,42.97
581,291,89,1,165.09,165.09
582,292,116,1,105.53,105.53
583,292,44,1,152.88,152.88
584,293,111,1,25.98,25.98
585,294,44,1,152.88,152.88
586,295,50,1,118.08,118.08
587,296,115,1,37.29,37.29
588,297,62,1,226.21,226.21
589,298,48,1,243.57,243.57
590,298,58,1,130.73,130.73
591,298,66,1,149.93,149.93
592,298,62,1,226.21,226.21
593,299,120,1,136.24,136.24
594,299,75,2,197.57,395.14
595,300,114,1,37.83,37.83
596,300,110,1,33.94,33.94
597,300,61,1,274.32,274.32
598,300,116,1,105.53,105.53
599,301,59,1,83.92,83.92
600,301,53,1,87.51,87.51
601,302,45,1,316.36,316.36
602,302,21,1,127.87,127.87
603,303,112,1,139.04,139.04
604,303,1,1,87.96,87.96
605,303,70,1,171.33,171.33
606,304,59,2,83.92,167.84
607,304,43,1,260.88,260.88
608,304,8,1,60.76,60.76
609,305,36,1,233.77,233.77
610,305,9,1,148.99,148.99
611,305,28,1,240.06,240.06
612,305,62,1,226.21,226.21
613,306,27,2,68.80,137.60
614,306,113,1,74.12,74.12
615,306,59,3,83.92,251.76
616,307,6,2,50.38,100.76
617,308,51,1,169.50,169.50
618,309,19,1,251.45,251.45
619,310,8,1,60.76,60.76
620,310,83,1,79.09,79.09
621,310,45,1,316.36,316.36
622,311,13,1,37.95,37.95
623,311,23,1,259.95,259.95
624,311,31,1,253.74,253.74
625,311,87,1,111.70,111.70
626,312,85,1,29.53,29.53
627,313,80,1,52.30,52.30
628,314,8,1,60.76,60.76
629,314,12,1,69.57,69.57
630,314,65,1,249.07,249.07
631,315,3,1,94.84,94.84
632,316,53,1,87.51,87.51
633,316,36,1,233.77,233.77
634,316,22,1,93.52,93.52
635,317,85,1,29.53,29.53
636,318,52,1,56.21,56.21
637,319,117,1,135.17,135.17
638,320,53,2,87.51,175.02
639,321,27,1,68.80,68.80
640,321,103,1,154.17,154.17
641,322,32,1,184.33,184.33
642,323,72,1,240.87,240.87
643,323,32,1,184.33,184.33
644,323,105,1,25.23,25.23
645,323,120,1,136.24,136.24
646,324,1,2,87.96,175.92
647,324,41,1,132.51,132.51
648,324,35,1,347.76,347.76
649,324,44,1,152.88,152.88
650,324,28,1,240.06,240.06
651,325,77,1,22.73,22.73
652,325,106,2,72.87,145.74
653,326,6,2,50.38,100.76
654,327,46,1,86.89,86.89
655,327,22,1,93.52,93.52
656,328,65,1,249.07,249.07
657,328,62,1,226.21,226.21
658,329,3,1,94.84,94.84
659,330,53,1,87.51,87.51
660,331,23,1,259.95,259.95
661,332,19,1,251.45,251.45
662,333,67,1,104.40,104.40
663,333,84,1,154.38,154.38
664,333,63,1,140.81,140.81
665,334,31,1,253.74,253.74
666,334,61,1,274.32,274.32
667,335,98,1,21.00,21.00
668,335,113,1,74.12,74.12
669,335,56,1,119.71,119.71
670,336,113,1,74.12,74.12
671,336,68,1,270.02,270.02
672,337,83,1,79.09,79.09
673,337,117,1,135.17,135.17
674,338,87,1,111.70,111.70
675,338,46,2,86.89,173.78
676,338,63,1,140.81,140.81
677,339,113,1,74.12,74.12
678,340,90,1,16.76,16.76
679,340,119,1,42.97,42.97
680,341,102,2,41.70,83.40
681,341,67,1,104.40,104.40
682,341,27,1,68.80,68.80
683,341,41,1,132.51,132.51
684,342,10,1,73.71,73.71
685,343,45,1,316.36,316.36
686,344,13,1,37.95,37.95
687,345,34,1,50.00,50.00
688,346,66,1,149.93,149.93
689,347,30,1,54.79,54.79
690,347,1,1,87.96,87.96
691,347,64,1,117.05,117.05
692,348,103,1,154.17,154.17
693,348,79,1,107.76,107.76
694,349,109,1,33.50,33.50
695,350,83,1,79.09,79.09
696,350,18,1,205.40,205.40
697,351,99,1,128.47,128.47
698,352,48,1,243.57,243.57
699,352,9,1,148.99,148.99
700,352,93,1,123.03,123.03
701,353,15,1,46.88,46.88
702,354,108,2,15.23,30.46
703,355,111,3,25.98,77.94
704,355,50,1,118.08,118.08
705,356,27,2,68.80,137.60
706,356,45,1,316.36,316.36
707,357,120,1,136.24,136.24
708,357,84,1,154.38,154.38
709,358,22,3,93.52,280.56
710,358,39,1,323.74,323.74
711,359,54,1,101.99,101.99
712,359,81,2,23.91,47.82
713,360,56,1,119.71,119.71
714,360,68,1,270.02,270.02
715,360,11,1,232.90,232.90
716,361,11,1,232.90,232.90
717,361,55,1,110.90,110.90
718,361,99,1,128.47,128.47
719,362,31,1,253.74,253.74
720,363,103,1,154.17,154.17
721,363,64,1,117.05,117.05
722,363,116,1,105.53,105.53
723,364,89,1,165.09,165.09
724,364,76,3,58.10,174.30
725,365,97,2,14.07,28.14
726,365,103,1,154.17,154.17
727,365,84,1,154.38,154.38
728,366,10,1,73.71,73.71
729,367,26,1,277.00,277.00
730,368,55,1,110.90,110.90
731,369,60,1,23.26,23.26
732,369,11,1,232.90,232.90
733,370,105,1,25.23,25.23
734,370,12,1,69.57,69.57
735,370,31,1,253.74,253.74
736,371,73,1,205.23,205.23
737,372,51,1,169.50,169.50
738,372,36,1,233.77,233.77
739,372,105,2,25.23,50.46
740,372,71,2,60.79,121.58
741,373,45,1,316.36,316.36
742,373,6,1,50.38,50.38
743,374,10,1,73.71,73.71
744,374,83,1,79.09,79.09
745,375,36,1,233.77,233.77
746,376,103,1,154.17,154.17
747,376,10,3,73.71,221.13
748,376,8,1,60.76,60.76
749,377,67,1,104.40,104.40
750,378,91,1,23.33,23.33
751,379,94,1,130.90,130.90
752,379,30,1,54.79,54.79
753,380,19,1,251.45,251.45
754,380,50,2,118.08,236.16
755,381,10,2,73.71,147.42
756,381,59,1,83.92,83.92
757,381,89,1,165.09,165.09
758,381,115,1,37.29,37.29
759,381,7,1,182.95,182.95
760,382,32,1,184.33,184.33
761,383,50,1,118.08,118.08
762,383,112,1,139.04,139.04
763,384,12,1,69.57,69.57
764,384,67,2,104.40,208.80
765,385,44,1,152.88,152.88
766,385,72,1,240.87,240.87
767,385,64,1,117.05,117.05
768,386,10,2,73.71,147.42
769,386,80,2,52.30,104.60
770,387,61,1,274.32,274.32
771,387,85,1,29.53,29.53
772,388,19,1,251.45,251.45
773,388,82,1,84.04,84.04
774,389,118,2,38.55,77.10
775,390,109,1,33.50,33.50
776,390,78,1,109.94,109.94
777,390,54,1,101.99,101.99
778,391,6,2,50.38,100.76
779,391,99,1,128.47,128.47
780,392,73,1,205.23,205.23
781,392,25,1,64.98,64.98
782,393,24,1,175.40,175.40
783,394,23,2,259.95,519.90
784,395,13,1,37.95,37.95
785,396,99,1,128.47,128.47
786,396,81,1,23.91,23.91
787,396,87,1,111.70,111.70
788,396,24,1,175.40,175.40
789,396,21,2,127.87,255.74
790,397,38,1,133.66,133.66
791,398,56,1,119.71,119.71
792,399,31,2,253.74,507.48
793,399,81,1,23.91,23.91
794,400,51,2,169.50,339.00
795,400,45,1,316.36,316.36
796,400,13,1,37.95,37.95
797,401,56,1,119.71,119.71
798,402,87,1,111.70,111.70
799,403,105,2,25.23,50.46
800,403,95,1,30.74,30.74
801,404,4,2,75.82,151.64
802,405,116,1,105.53,105.53
803,405,38,1,133.66,133.66
804,405,50,1,118.08,118.08
805,406,32,1,184.33,184.33
806,407,99,1,128.47,128.47
