OrderID,CustomerID,OrderDateTime,Subtotal,DiscountRate,DiscountAmount,ShippingMethod,Shipping,Tax,Total
1,1,2024-04-10 06:03:16,744.06,0.15,111.61,Standard,0.00,44.27,676.72
2,1,2024-04-19 20:50:24,121.87,0.10,12.19,Standard,5.99,8.10,123.77
3,1,2024-05-05 10:05:33,205.40,0.05,10.27,Standard,0.00,13.66,208.79
4,1,2024-07-25 05:47:03,582.56,0.15,87.38,Standard,0.00,34.66,529.84
5,1,2025-01-18 08:20:58,135.17,0.05,6.76,Standard,0.00,8.99,137.40
6,1,2025-03-26 20:34:02,165.19,0.05,8.26,Standard,0.00,10.99,167.92
7,1,2025-04-11 12:49:11,410.66,0.10,41.07,Two-Day,0.00,25.87,395.46
8,1,2025-05-15 19:37:16,312.89,0.10,31.29,Standard,0.00,19.71,301.31
9,1,2025-08-24 14:33:14,139.04,0.05,6.95,Next-Day,0.00,9.25,141.34
10,1,2025-09-03 07:00:55,388.48,0.10,38.85,Standard,0.00,24.47,374.10
11,1,2025-10-14 18:55:26,169.44,0.05,8.47,Standard,0.00,11.27,172.24
12,1,2026-04-03 21:20:49,63.82,0.00,0.00,Standard,5.99,4.89,74.70
13,1,2026-05-31 21:20:31,50.46,0.00,0.00,Standard,5.99,3.95,60.40
14,1,2026-06-12 21:03:12,100.00,0.05,5.00,Standard,5.99,7.07,108.06
15,1,2026-07-15 14:02:16,361.37,0.10,36.14,Standard,0.00,22.77,348.00
16,1,2026-07-22 13:35:07,347.76,0.10,34.78,Two-Day,0.00,21.91,334.89
17,1,2026-08-25 22:05:12,416.67,0.10,41.67,Standard,0.00,26.25,401.25
18,1,2026-08-28 21:43:03,510.03,0.15,76.50,Two-Day,0.00,30.35,463.88
19,2,2025-05-27 15:29:18,551.58,0.15,82.74,Standard,0.00,32.82,501.66
20,2,2025-10-04 21:40:23,221.80,0.10,22.18,Standard,0.00,13.97,213.59
21,2,2026-01-12 13:40:59,316.36,0.10,31.64,Standard,0.00,19.93,304.65
22,2,2026-05-18 14:44:55,456.68,0.10,45.67,Standard,0.00,28.77,439.78
23,3,2023-11-27 09:12:27,384.53,0.10,38.45,Standard,0.00,24.23,370.31
24,3,2024-04-20 13:10:24,222.58,0.05,11.13,Standard,0.00,14.80,226.25
25,3,2024-05-30 14:29:18,505.05,0.15,75.76,Standard,0.00,30.05,459.34
26,3,2024-10-29 09:00:58,187.04,0.05,9.35,Standard,0.00,12.44,190.13
27,3,2025-04-02 16:06:18,30.74,0.00,0.00,Two-Day,12.99,3.06,46.79
28,3,2026-02-20 11:08:32,271.28,0.10,27.13,Two-Day,0.00,17.09,261.24
29,4,2025-12-25 15:38:39,343.71,0.10,34.37,Standard,0.00,21.65,330.99
30,4,2026-02-15 15:18:01,347.27,0.10,34.73,Standard,0.00,21.88,334.42
31,4,2026-03-01 21:38:45,259.72,0.10,25.97,Standard,0.00,16.36,250.11
32,4,2026-05-10 21:25:40,487.14,0.10,48.71,Two-Day,0.00,30.69,469.12
33,4,2026-06-26 21:46:19,967.06,0.15,145.06,Standard,0.00,57.54,879.54
34,4,2026-08-14 11:05:34,228.73,0.05,11.44,Two-Day,0.00,15.21,232.50
35,4,2026-08-19 17:29:31,503.15,0.15,75.47,Standard,0.00,29.94,457.62
36,5,2025-07-19 22:41:07,418.94,0.10,41.89,Standard,0.00,26.39,403.44
37,5,2025-08-15 11:35:32,140.81,0.05,7.04,Two-Day,0.00,9.36,143.13
38,5,2025-08-21 19:40:34,586.38,0.15,87.96,Standard,0.00,34.89,533.31
39,5,2025-08-28 14:02:06,147.19,0.05,7.36,Standard,0.00,9.79,149.62
40,5,2026-01-06 22:44:35,825.74,0.15,123.86,Standard,0.00,49.13,751.01
41,5,2026-02-10 11:11:30,196.14,0.05,9.81,Standard,0.00,13.04,199.37
42,5,2026-04-02 16:48:10,231.49,0.05,11.57,Standard,0.00,15.39,235.31
43,5,2026-04-10 12:54:31,33.94,0.10,3.39,Standard,5.99,2.56,39.10
44,5,2026-04-24 19:15:52,583.32,0.15,87.50,Standard,0.00,34.71,530.53
45,5,2026-05-05 06:31:26,413.76,0.10,41.38,Standard,0.00,26.07,398.45
46,5,2026-07-06 06:52:39,246.21,0.05,12.31,Standard,0.00,16.37,250.27
47,5,2026-07-09 17:13:34,499.85,0.10,49.99,Two-Day,0.00,31.49,481.35
48,6,2025-07-30 09:44:53,337.79,0.10,33.78,Standard,0.00,21.28,325.29
49,6,2026-01-10 17:17:16,892.56,0.15,133.88,Standard,0.00,53.11,811.79
50,6,2026-03-02 08:48:45,507.31,0.15,76.10,Standard,0.00,30.18,461.39
51,6,2026-06-12 13:09:08,422.93,0.10,42.29,Two-Day,0.00,26.64,407.28
52,7,2024-12-18 16:13:49,651.18,0.15,97.68,Standard,0.00,38.75,592.25
53,7,2025-05-25 11:02:45,391.63,0.10,39.16,Standard,0.00,24.67,377.14
54,7,2026-02-13 21:10:08,224.29,0.05,11.21,Standard,0.00,14.92,228.00
55,7,2026-04-21 15:58:28,449.78,0.10,44.98,Standard,0.00,28.34,433.14
56,7,2026-08-28 19:43:06,30.92,0.00,0.00,Two-Day,12.99,3.07,46.98
57,8,2026-08-03 18:13:35,135.31,0.05,6.77,Two-Day,0.00,9.00,137.54
58,9,2026-07-12 23:03:23,111.70,0.05,5.59,Standard,5.99,7.85,119.95
59,10,2024-09-10 08:05:49,16.76,0.00,0.00,Next-Day,24.99,2.92,44.67
